Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
159.0,95.36123614,103.77420014,95.930566588,786.339974,198.978046,-0.0438231276,1259.85421,1263.2968
160.0,95.055228342,103.94228538,95.819256121,786.410496,199.047231,-0.0996514103,1259.57646,1264.41328
161.0,94.327038886,104.57016781,95.752008644,786.547453,199.076633,-0.470466838,1258.85849,1266.01864
162.0,93.449213438,105.34853875,95.620033516,786.732548,199.05026,-1.01573298,1258.59617,1267.4857
163.0,93.096670629,105.84244834,95.844413344,786.641469,198.999242,-1.39597323,1258.35273,1266.60251
164.0,93.175434007,105.79440304,95.864309375,786.472438,198.932079,-1.48787559,1259.19675,1265.25624
165.0,92.956690973,105.88871261,95.651701803,786.623815,198.934426,-1.64522134,1260.01122,1265.68366
166.0,92.896664697,105.85638424,95.45032284,786.981027,198.946229,-1.68421486,1261.15795,1266.17395
167.0,92.991354053,105.8591476,95.480054177,787.166907,198.912621,-1.65211675,1261.45423,1265.96391
168.0,93.213053408,105.6978876,95.381774106,787.295665,198.85943,-1.50021045,1261.96956,1265.76101
169.0,93.86382241,105.30431912,95.628904528,787.168011,198.856454,-1.11069344,1261.76671,1264.0747
170.0,94.706734004,104.47138399,95.491051939,787.133693,198.874616,-0.466328614,1262.68879,1263.18837
171.0,94.610278972,104.71692625,95.681239522,787.036116,198.972458,-0.343585855,1260.57182,1263.90369
172.0,93.954554768,105.40122837,95.721579299,786.861871,199.041011,-0.576648192,1258.47651,1265.26575
173.0,94.076808159,105.26566053,95.785100379,786.723026,199.136409,-0.447625044,1258.71624,1264.46999
174.0,94.964027827,104.16884873,95.54351711,786.85656,199.209534,0.200472678,1261.35205,1263.39079
175.0,95.520677708,103.57523153,95.566385635,786.988325,199.253846,0.714078497,1261.76963,1263.39869
176.0,95.852846557,103.33200404,95.737330433,786.833394,199.213523,1.10112285,1260.7983,1263.41761
177.0,95.996952993,103.27809508,95.931323796,786.507177,199.174318,1.35977862,1259.39673,1263.33785
178.0,96.013388024,103.07104118,95.698049935,786.527963,199.177829,1.58172557,1259.67091,1264.31453
179.0,96.000055583,103.04508206,95.734120255,786.634612,199.210235,1.70430312,1259.46827,1264.86484
180.0,96.494502525,102.62244244,95.919354102,786.465435,199.1683,2.05991637,1259.62102,1263.7764
181.0,96.504022829,102.56492086,95.926213712,786.304766,199.127246,2.182829,1259.11859,1264.12959
182.0,96.116507672,102.95316082,96.068511295,786.126209,199.123812,2.02596301,1257.76555,1264.76894
183.0,95.914176749,103.03431403,96.024107709,786.037879,199.105523,1.94064449,1257.9014,1265.03528
184.0,96.196549462,102.63542911,95.998912782,786.061018,199.093571,2.11165552,1259.09622,1264.46727
185.0,96.227312362,102.29224216,95.566159641,786.47983,199.045211,2.22778157,1260.93528,1265.86886
186.0,96.671561885,101.97911127,95.7761456,786.642874,198.974134,2.47556185,1261.20473,1265.22694
187.0,97.074654075,101.85338753,96.151722869,786.224163,198.822607,2.68279054,1259.91111,1263.86893
188.0,97.116235998,101.77279679,96.078393433,785.987003,198.765296,2.77357314,1259.40132,1264.07622
189.0,96.507060031,102.11999475,95.697763471,786.341672,198.819545,2.51616604,1259.50868,1266.49778
190.0,95.639808257,102.80870104,95.365673474,786.969904,198.842707,1.99498507,1259.84709,1269.08226
191.0,95.420242242,103.26837485,95.591857805,787.114853,198.770823,1.63653283,1259.66704,1268.37211
192.0,95.622078199,103.26011799,95.673514158,786.9535,198.663385,1.52486949,1260.07072,1266.72468
193.0,96.182064255,102.94231605,95.929126617,786.646213,198.671796,1.66354055,1260.075,1264.3508
194.0,96.431699097,102.54603417,95.609990152,786.734467,198.741929,1.81580872,1261.10941,1264.54435
195.0,96.964508501,102.02853129,95.624072573,786.934534,198.869413,2.13752454,1261.77401,1264.09315
196.0,97.217676731,101.82307702,95.658043567,786.938292,198.90552,2.33158121,1261.38161,1264.22547
197.0,96.460293626,102.6903121,95.827645328,786.74887,198.934693,1.90049611,1258.69862,1265.62222
198.0,95.836451542,103.30319334,95.842532677,786.577498,198.970047,1.4593137,1257.73601,1266.09883
199.0,95.091475038,103.8612446,95.590410101,786.749735,199.030233,0.916372186,1258.16216,1267.24401
200.0,95.049502941,103.89367862,95.599789271,786.921097,199.066703,0.691085305,1259.37589,1266.47508
201.0,95.221106555,103.71593337,95.531931691,787.013887,199.028709,0.635223856,1260.58526,1265.75578
202.0,95.030032135,103.99518237,95.595660853,787.015218,199.0002,0.402483373,1260.14854,1265.76029
203.0,95.044103221,104.07088299,95.65628547,786.927014,198.979147,0.298424046,1260.04227,1265.18007
204.0,94.608126789,104.54663439,95.66806785,786.865459,198.994503,-0.0407518872,1259.21457,1265.62057
205.0,94.563149269,104.47853782,95.440482609,787.058437,199.034664,-0.13029157,1260.37035,1265.7616
206.0,94.876666986,104.45448032,95.919377018,786.793632,199.074696,-0.0986108884,1259.55144,1263.80215
207.0,93.669505314,105.5738505,95.793677667,786.560159,199.063693,-0.818847826,1257.45603,1265.9185
208.0,92.438042935,106.77278024,95.878495319,786.486575,199.152844,-1.68386708,1256.05621,1266.95206
209.0,91.839814272,107.33318905,95.968558199,786.323492,199.183015,-2.27077741,1256.41914,1266.16955
210.0,92.076501746,107.12740728,96.226149416,785.975013,199.192284,-2.36903313,1257.51267,1263.63034
211.0,92.896370669,105.94347799,95.837159821,786.082902,199.185857,-1.88084249,1261.14969,1262.51904
212.0,93.725272804,104.94059913,95.727688332,786.424253,199.191875,-1.25561655,1263.08967,1262.40096
213.0,93.891794817,104.7896571,95.781030709,786.517921,199.074533,-0.95437659,1262.30747,1263.51877
214.0,94.115663087,104.50886545,95.610208661,786.673757,198.938312,-0.603500403,1262.43145,1264.54409
215.0,93.838953,104.78976239,95.470470323,786.960684,198.852692,-0.586010287,1261.70725,1266.31819
216.0,93.576830667,105.32290031,95.72155905,786.908349,198.776638,-0.711853848,1259.98542,1266.41425
217.0,93.677064116,105.32437827,95.701092416,786.795988,198.72733,-0.64063161,1259.98778,1265.75741
218.0,94.03656287,104.98353657,95.629338425,786.867614,198.784797,-0.386294464,1260.74904,1265.06091
219.0,94.4160375,104.7179739,95.769031454,786.808137,198.857012,-0.101807238,1260.55699,1264.23853
220.0,95.035646075,104.06322264,95.696184516,786.777425,198.911374,0.405499163,1261.29424,1263.60247
221.0,95.215405251,103.79687533,95.570658343,786.91848,198.985587,0.719519649,1261.26805,1264.43991
222.0,95.414962664,103.47997122,95.34142375,787.22798,199.023348,1.04565512,1261.86291,1265.4821
223.0,95.889717842,103.16714539,95.512205993,787.272032,199.019659,1.43861921,1261.53907,1264.96392
