Time (mins),FC1,FC2,FG,TO,FO,DT,TS1,TS2
145.0,102.65001942,105.11939859,94.946591851,786.083393,207.787849,-0.873555006,1263.8949,1265.97254
146.0,102.62138538,105.32594121,95.010329924,786.334444,207.810295,-1.01370204,1264.07502,1265.54256
147.0,102.9108101,105.37216562,95.319022907,786.079224,207.796669,-0.998341423,1263.38033,1263.62916
148.0,103.2217946,105.29284248,95.573013373,785.60497,207.846889,-0.896871637,1262.43765,1261.78602
149.0,103.60023368,104.92122045,95.635626104,785.280356,207.992251,-0.645418865,1262.34618,1260.62357
150.0,104.06969684,104.37041637,95.700974542,785.088086,208.16638,-0.263813961,1262.57762,1259.87524
151.0,104.04344408,104.06753172,95.390949705,785.259669,208.284738,-0.0560377095,1263.2485,1261.46145
152.0,103.76439032,104.1816305,95.305908771,785.524831,208.336529,-0.0589782936,1263.11972,1263.1179
153.0,103.18131832,104.94857224,95.706031823,785.240156,208.261345,-0.403349751,1260.77456,1263.46755
154.0,102.70546821,105.27024265,95.500038595,785.114034,208.156237,-0.680327381,1261.01391,1264.09411
155.0,102.89094902,104.81484934,95.083203893,785.591266,208.147455,-0.567393043,1263.79621,1264.38859
156.0,103.78443426,104.08895476,95.27806929,785.783867,208.090207,-0.0984345887,1265.15231,1262.6191
157.0,104.12845033,103.9180319,95.393036954,785.626956,207.962071,0.152738268,1264.39697,1262.27114
158.0,104.35059364,103.89491504,95.635020218,785.313706,207.93251,0.343726847,1262.93816,1261.65121
159.0,104.74259913,103.64080986,95.910646113,784.85423,207.970501,0.63805239,1261.87079,1260.36995
160.0,104.77636465,103.43946795,95.824140643,784.661442,208.06217,0.812994574,1261.64345,1260.79423
161.0,104.49353392,103.55327032,95.833173421,784.640819,208.16925,0.779153141,1261.13714,1261.79973
162.0,104.28331234,103.60219603,95.84323815,784.595788,208.184778,0.732505394,1261.16027,1262.36748
163.0,103.50854199,104.10728001,95.611205349,784.768462,208.138786,0.344573282,1261.17512,1264.45161
164.0,103.10315494,104.34624528,95.433345949,785.098049,208.05436,0.0677792884,1262.23965,1265.40054
165.0,103.05629778,104.44401739,95.459873412,785.263298,207.908181,-0.0832909095,1262.98499,1265.07011
166.0,103.38490922,104.23272229,95.495225322,785.277054,207.755254,-0.00814240689,1263.76955,1263.98734
167.0,103.78966302,104.00337663,95.626514032,785.169561,207.670274,0.155650141,1263.76811,1262.82241
168.0,104.1774025,103.62166819,95.51213113,785.204071,207.652727,0.412272097,1264.28696,1262.53419
169.0,104.52298425,103.31943018,95.514744655,785.29842,207.699498,0.673780519,1264.32613,1262.43104
170.0,104.24706645,103.28195322,94.868536859,785.929615,207.732689,0.688071394,1265.52696,1265.21668
171.0,104.08356667,103.83451005,95.350771304,786.018083,207.769264,0.517009636,1263.49651,1264.91939
172.0,103.87771619,104.4083425,95.761840654,785.382429,207.689183,0.261533097,1261.11121,1263.52657
173.0,104.03793158,104.27911996,95.813241595,784.941065,207.765481,0.275287017,1261.0632,1261.99782
174.0,104.81347549,103.22564734,95.494991494,785.095661,207.939007,0.778889779,1263.78113,1261.09187
175.0,105.39540222,102.56276509,95.518294502,785.282084,208.065022,1.22532532,1264.52739,1260.99969
176.0,105.50209189,102.42133081,95.546347564,785.263242,208.056389,1.43180112,1263.86657,1261.81959
177.0,105.02566642,102.83021553,95.487036849,785.274732,208.023648,1.27086379,1262.65858,1263.51919
178.0,104.52780166,103.16167713,95.195063225,785.573846,207.99024,1.02899562,1262.96235,1265.24226
179.0,104.06491382,103.70970406,95.229079654,785.790359,207.945454,0.658290126,1262.58965,1265.83472
180.0,104.11394623,103.87904519,95.410613899,785.669129,207.860129,0.497574077,1262.49668,1264.5286
181.0,103.75342224,104.46956822,95.425877764,785.561544,207.831625,0.102993382,1261.82485,1264.60099
182.0,102.90829418,105.56394811,95.49383253,785.509663,207.885414,-0.61267995,1260.43735,1265.33482
183.0,102.1790826,106.37186312,95.351026326,785.614182,207.997939,-1.28438386,1260.64732,1265.84714
184.0,102.35077987,106.37066733,95.45368921,785.622766,208.15604,-1.47717826,1261.94276,1264.07802
185.0,102.93883768,105.82252747,95.372140911,785.615528,208.287675,-1.29705668,1263.84356,1262.53535
186.0,103.35013403,105.51216187,95.426611255,785.578129,208.432266,-1.10888859,1264.22027,1261.89468
187.0,103.45101943,105.57747393,95.592311975,785.354173,208.541966,-1.05104523,1263.23788,1261.75098
188.0,103.56240911,105.50819028,95.574186282,785.194135,208.648742,-0.944893,1263.03895,1261.84674
189.0,103.69527236,105.38620695,95.53032802,785.184123,208.775326,-0.814755079,1263.22359,1262.10731
190.0,104.06157674,105.10361555,95.599322884,785.1224,208.873751,-0.560871565,1263.47776,1261.7391
191.0,104.074891,105.1063388,95.536234047,785.1043,208.942994,-0.471382715,1263.31767,1262.45029
192.0,104.02221637,105.08016824,95.277641339,785.357426,209.01706,-0.407837421,1263.99787,1263.72273
193.0,104.10592139,105.11670435,95.271217681,785.563134,209.071783,-0.340939621,1264.18968,1264.11693
194.0,104.71397224,104.68590055,95.265968064,785.615943,209.081984,0.013755318,1265.02947,1263.28906
195.0,105.37237259,104.25813926,95.333643351,785.56878,209.128865,0.432970559,1265.15175,1262.46932
196.0,105.58911232,104.23197517,95.355990561,785.499813,209.219201,0.64364275,1264.3091,1262.7328
197.0,105.39563561,104.81809408,95.812781325,785.044399,209.356304,0.52706265,1261.43892,1262.36812
198.0,105.10562905,105.15772282,95.826137107,784.640448,209.511232,0.371905527,1260.46073,1262.44659
199.0,105.21842539,104.99645657,95.840582383,784.491395,209.745398,0.429025686,1261.05682,1261.89604
200.0,105.37991546,104.64914018,95.645598969,784.587701,209.918049,0.571014641,1262.49673,1262.23955
201.0,106.00328144,103.98385054,95.640279063,784.685653,210.016993,0.980114996,1263.97647,1261.73846
202.0,106.55071732,103.59230434,95.885407067,784.44917,210.021014,1.35249888,1263.66022,1261.04529
203.0,106.25338983,103.73686687,95.553501796,784.53351,210.00972,1.34025019,1263.51893,1263.27408
204.0,105.77731461,104.29741287,95.576866318,784.718318,210.054154,1.08331131,1262.65015,1264.7685
205.0,105.56723455,104.49717377,95.303507622,785.006406,210.032855,0.919697165,1263.5977,1265.76529
206.0,106.02916173,104.58095758,95.951413519,784.641712,210.046812,0.958852913,1262.46836,1263.12329
207.0,105.95635959,105.02663453,96.400825282,783.763932,210.052678,0.760069457,1260.08692,1261.48473
